league,season,team,player,nation,pos,age,born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sotpct,shooting_standard_sh_90,shooting_standard_sot_90,shooting_standard_g_sh,shooting_standard_g_sot,shooting_standard_pk,shooting_standard_pkatt,fbref_season_label,fbref_stat_type
ENG-Premier League,2021,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34.0,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Ainsley Maitland-Niles,ENG,MF,23,1997,3.0,0,2,0,0.0,0.67,0.0,0.0,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Albert Sambi Lokonga,BEL,MF,21,1999,12.6,0,20,8,40.0,1.59,0.63,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Alexandre Lacazette,FRA,"FW,MF",30,1991,19.8,4,46,15,32.6,2.32,0.76,0.04,0.13,2,3,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Ben White,ENG,DF,23,1997,32.0,0,12,4,33.3,0.37,0.12,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,29,1992,4.0,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Bukayo Saka,ENG,"MF,FW",19,2001,33.1,11,97,31,32.0,2.93,0.94,0.09,0.29,2,2,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Calum Chambers,ENG,DF,26,1995,1.9,0,2,0,0.0,1.06,0.0,0.0,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Cédric Soares,POR,DF,29,1991,16.5,1,12,1,8.3,0.73,0.06,0.08,1.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Eddie Nketiah,ENG,FW,22,1999,9.3,5,28,12,42.9,3.02,1.29,0.18,0.42,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Emile Smith Rowe,ENG,MF,21,2000,21.3,10,40,23,57.5,1.87,1.08,0.25,0.43,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Folarin Balogun,USA,FW,20,2001,0.8,0,3,0,0.0,3.86,0.0,0.0,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Gabriel Magalhães,BRA,DF,23,1997,34.0,5,29,12,41.4,0.85,0.35,0.17,0.42,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Gabriel Martinelli,BRA,"MF,FW",20,2001,20.7,6,52,16,30.8,2.52,0.77,0.1,0.31,1,1,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Granit Xhaka,SUI,MF,28,1992,25.9,1,27,5,18.5,1.04,0.19,0.04,0.2,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Kieran Tierney,SCO,DF,24,1997,21.3,1,15,5,33.3,0.7,0.23,0.07,0.2,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Martin Ødegaard,NOR,MF,22,1998,30.9,7,53,21,39.6,1.71,0.68,0.13,0.33,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Mohamed Elneny,EGY,MF,29,1992,9.0,0,8,2,25.0,0.89,0.22,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Nicolas Pépé,CIV,MF,26,1995,7.7,1,23,8,34.8,2.97,1.03,0.04,0.13,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Nuno Tavares,POR,DF,21,2000,13.1,1,23,2,8.7,1.76,0.15,0.04,0.5,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Pablo Marí,ESP,DF,27,1993,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32,1989,11.5,4,35,18,51.4,3.04,1.56,0.11,0.22,0,2,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Reiss Nelson,ENG,"FW,MF",21,1999,0.2,0,1,0,0.0,4.5,0.0,0.0,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Rob Holding,ENG,DF,25,1995,9.4,1,4,1,25.0,0.43,0.11,0.25,1.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Sead Kolašinac,BIH,DF,28,1993,1.0,0,0,0,,0.0,0.0,,,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Takehiro Tomiyasu,JPN,DF,22,1998,18.7,0,11,2,18.2,0.59,0.11,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Arsenal,Thomas Partey,GHA,MF,28,1993,22.5,2,44,10,22.7,1.95,0.44,0.05,0.2,0,0,2021-2022,shooting
ENG-Premier League,2021,Aston Villa,Anwar El Ghazi,NED,"MF,FW",26,1995,4.3,1,8,3,37.5,1.87,0.7,0.0,0.0,1,1,2021-2022,shooting
ENG-Premier League,2021,Aston Villa,Ashley Young,ENG,"DF,FW",36,1985,13.9,0,10,3,30.0,0.72,0.22,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Aston Villa,Axel Tuanzebe,COD,DF,23,1997,5.6,0,2,1,50.0,0.35,0.18,0.0,0.0,0,0,2021-2022,shooting
ENG-Premier League,2021,Aston Villa,Bertrand Traoré,BFA,FW,25,1995,2.4,0,8,1,12.5,3.27,0.41,0.0,0.0,0,0,2021-2022,shooting
