league,season,team,player,nation,pos,age,born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,fbref_season_label,fbref_stat_type
ENG-Premier League,2022,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38.0,1,0,0,0,4,0,0,0,1,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,2.2,0,0,0,1,5,0,0,4,1,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Ben White,ENG,DF,24,1997,33.9,5,0,0,28,30,1,57,21,33,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Bukayo Saka,ENG,"FW,MF",20,2001,35.3,6,0,0,43,65,9,175,11,33,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Cédric Soares,POR,"DF,MF",30,1991,0.3,0,0,0,1,0,0,2,0,0,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Eddie Nketiah,ENG,FW,23,1999,12.1,3,0,0,30,25,8,5,1,9,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Emile Smith Rowe,ENG,MF,22,2000,1.9,0,0,0,1,0,1,5,0,1,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Ethan Nwaneri,ENG,MF,15,2007,0.0,0,0,0,0,0,0,0,0,0,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Fabio Vieira,POR,MF,22,2000,5.7,0,0,0,3,5,0,21,4,4,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Gabriel Jesus,BRA,FW,25,1997,22.9,6,0,0,43,56,16,11,11,24,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Gabriel Magalhães,BRA,DF,24,1997,37.9,5,0,0,26,41,1,5,32,28,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Gabriel Martinelli,BRA,"FW,MF",21,2001,31.0,3,0,0,39,37,8,113,9,22,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Granit Xhaka,SUI,MF,29,1992,33.3,4,0,0,25,39,5,39,15,26,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Jakub Kiwior,POL,DF,22,2000,4.7,0,0,0,1,1,0,1,6,6,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Jorginho,ITA,MF,30,1991,9.5,0,0,0,6,18,0,2,7,12,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Kieran Tierney,SCO,DF,25,1997,8.8,0,0,0,5,9,1,25,10,10,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Leandro Trossard,BEL,FW,27,1994,10.3,0,0,0,9,17,4,56,5,6,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Marquinhos,BRA,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Martin Ødegaard,NOR,MF,23,1998,34.7,4,0,0,30,26,1,93,5,24,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Mohamed Elneny,EGY,MF,30,1992,1.3,0,0,0,1,1,0,0,0,1,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Oleksandr Zinchenko,UKR,DF,25,1996,23.5,3,0,0,6,11,1,38,22,18,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Reiss Nelson,ENG,"FW,MF",22,1999,2.4,0,0,0,8,4,0,12,0,1,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Rob Holding,ENG,DF,26,1995,6.3,0,0,0,5,2,0,0,3,5,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Takehiro Tomiyasu,JPN,DF,23,1998,7.4,2,0,0,6,3,0,12,12,19,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,Thomas Partey,GHA,MF,29,1993,27.6,5,0,0,37,23,0,9,26,40,,,0,2022-2023,misc
ENG-Premier League,2022,Arsenal,William Saliba,FRA,DF,21,2001,26.8,4,0,0,19,13,0,1,18,19,,,1,2022-2023,misc
ENG-Premier League,2022,Aston Villa,Ashley Young,ENG,DF,37,1985,22.6,7,0,0,24,28,1,42,22,27,,,0,2022-2023,misc
ENG-Premier League,2022,Aston Villa,Bertrand Traoré,BFA,MF,26,1995,2.6,1,0,0,2,8,3,5,2,1,,,0,2022-2023,misc
ENG-Premier League,2022,Aston Villa,Boubacar Kamara,FRA,MF,22,1999,19.7,4,0,0,34,31,0,2,19,27,,,0,2022-2023,misc
