row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
0,3332,Wayne Rooney,Everton FC,2017,True,exact,100,82,Wayne Rooney,Everton
1,3333,James Milner,Liverpool FC,2017,True,exact,100,85,James Milner,Liverpool
2,3333,James Milner,Liverpool FC,2018,True,exact,100,85,James Milner,Liverpool
3,3333,James Milner,Liverpool FC,2019,True,exact,100,85,James Milner,Liverpool
4,4360,Arjen Robben,Bayern Munich,2017,True,exact,100,100,Arjen Robben,Bayern Munich
5,6288,Mario Gómez,VfB Stuttgart,2017,True,exact,100,81,Mario Gómez,Stuttgart
6,6636,Christian Fuchs,Leicester City,2017,True,exact,100,100,Christian Fuchs,Leicester City
7,7161,Jonas Hofmann,Borussia Mönchengladbach,2018,True,exact,100,50,Jonas Hofmann,Gladbach
8,7161,Jonas Hofmann,Borussia Mönchengladbach,2019,True,exact,100,50,Jonas Hofmann,Gladbach
9,7161,Jonas Hofmann,Borussia Mönchengladbach,2020,True,exact,100,50,Jonas Hofmann,Gladbach
10,7161,Jonas Hofmann,Borussia Mönchengladbach,2021,True,exact,100,50,Jonas Hofmann,Gladbach
11,7161,Jonas Hofmann,Borussia Mönchengladbach,2022,True,exact,100,50,Jonas Hofmann,Gladbach
12,7161,Jonas Hofmann,Bayer 04 Leverkusen,2023,True,exact,100,68,Jonas Hofmann,Leverkusen
13,7600,Andrés Iniesta,FC Barcelona,2017,True,exact,100,85,Andrés Iniesta,Barcelona
14,8198,Cristiano Ronaldo,Real Madrid,2017,True,exact,100,100,Cristiano Ronaldo,Real Madrid
15,8198,Cristiano Ronaldo,Juventus FC,2018,True,exact,100,84,Cristiano Ronaldo,Juventus
16,8198,Cristiano Ronaldo,Juventus FC,2019,True,exact,100,84,Cristiano Ronaldo,Juventus
17,8198,Cristiano Ronaldo,Juventus FC,2020,True,exact,100,84,Cristiano Ronaldo,Juventus
18,8198,Cristiano Ronaldo,Juventus FC,2021,True,exact,100,84,Cristiano Ronaldo,Juventus
19,8198,Cristiano Ronaldo,Manchester United,2022,True,exact,100,90,Cristiano Ronaldo,Manchester Utd
20,8806,Cesc Fàbregas,Chelsea FC,2017,True,exact,100,82,Cesc Fàbregas,Chelsea
21,8806,Cesc Fàbregas,AS Monaco,2018,True,exact,100,80,Cesc Fàbregas,Monaco
22,8806,Cesc Fàbregas,AS Monaco,2019,True,exact,100,80,Cesc Fàbregas,Monaco
23,8806,Cesc Fàbregas,AS Monaco,2020,True,exact,100,80,Cesc Fàbregas,Monaco
24,9594,Vincent Kompany,Manchester City,2017,True,exact,100,100,Vincent Kompany,Manchester City
25,9594,Vincent Kompany,Manchester City,2018,True,exact,100,100,Vincent Kompany,Manchester City
26,10471,Luiz Gustavo,Olympique Marseille,2017,True,exact,100,64,Luiz Gustavo,Marseille
27,10471,Luiz Gustavo,Olympique Marseille,2018,True,exact,100,64,Luiz Gustavo,Marseille
28,10471,Luiz Gustavo,Olympique Marseille,2019,True,exact,100,64,Luiz Gustavo,Marseille
29,11111,Ramiro Funes Mori,Everton FC,2017,True,exact,100,82,Ramiro Funes Mori,Everton
30,11111,Ramiro Funes Mori,Villarreal CF,2018,True,exact,100,86,Ramiro Funes Mori,Villarreal
31,12249,Éver Banega,Sevilla FC,2017,True,exact,100,82,Éver Banega,Sevilla
32,12249,Éver Banega,Sevilla FC,2018,True,exact,100,82,Éver Banega,Sevilla
