row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
76,18900,Hatem Ben Arfa,Paris Saint-Germain,2017,False,none,0,0,,
103,22614,Robert Snodgrass,West Ham United,2017,False,none,0,0,,
229,34944,Konstantinos Mitroglou,Olympique Marseille,2017,False,none,0,0,,
230,34944,Konstantinos Mitroglou,Olympique Marseille,2018,False,none,0,0,,
269,37526,Winston Reid,West Ham United,2018,False,none,0,0,,
409,44162,Miralem Pjanić,FC Barcelona,2021,False,none,0,0,,
410,44162,Miralem Pjanić,FC Barcelona,2022,False,none,0,0,,
441,45184,Grzegorz Krychowiak,Paris Saint-Germain,2018,False,none,0,0,,
571,50219,Simon Mignolet,Liverpool FC,2018,False,none,0,0,,
572,50219,Simon Mignolet,Liverpool FC,2019,False,none,0,0,,
573,50355,Fedor Smolov,Celta de Vigo,2019,False,none,0,0,,
577,50935,Chicharito,West Ham United,2017,False,none,0,0,,
578,50935,Chicharito,West Ham United,2018,False,none,0,0,,
579,50935,Chicharito,Sevilla FC,2019,False,none,0,0,,
602,52059,Zanka,Huddersfield Town,2017,False,none,0,0,,
603,52059,Zanka,Huddersfield Town,2018,False,none,0,0,,
615,52570,Fraser Forster,Southampton FC,2019,False,none,0,0,,
653,54781,Nicolás Otamendi,Manchester City,2020,False,none,0,0,,
712,57162,Sofiane Feghouli,West Ham United,2017,False,none,0,0,,
798,59631,Nacer Chadli,AS Monaco,2019,False,none,0,0,,
868,62049,Mame Diouf,Stoke City,2017,False,none,0,0,,
978,68863,Mauro Icardi,Paris Saint-Germain,2022,False,none,0,0,,
1058,73491,Danny Drinkwater,Chelsea FC,2018,False,none,0,0,,
1134,75442,Nico Gaitán,Atlético de Madrid,2017,False,none,0,0,,
1138,75471,Yannick Bolasie,Everton FC,2018,False,none,0,0,,
1298,85177,Nathaniel Clyne,Liverpool FC,2019,False,none,0,0,,
1333,85864,Loris Karius,Liverpool FC,2018,False,none,0,0,,
1363,87469,Cote,SD Eibar,2018,False,none,0,0,,
1418,90681,Eliaquim Mangala,Manchester City,2018,False,none,0,0,,
1506,93905,Muhamed Besic,Everton FC,2018,False,none,0,0,,
1539,95435,Connor Wickham,Crystal Palace,2017,False,none,0,0,,
1660,104223,Jordy Clasie,Southampton FC,2018,False,none,0,0,,
1662,104752,Konstantinos Manolas,AS Roma,2017,False,none,0,0,,
