age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
32.0,5.0,0,1.76,right,Attack,0,0,0,1,Premier League,1,381.25,7.0,0.412536443148688,0.82183804890753,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2268.0,10.0,2.0,5.0,45.0,18.0,0.8709677419354839,0.3968253968253968,0.0793650793650793,0.4761904761904762,1.7857142857142858,1,2017,Rendah,0,Original,False
32.0,5.0,0,1.75,right,Midfield,0,0,1,0,Premier League,1,857.5,3.0,0.1588921282798834,1.848461972296936,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1775.0,0.0,3.0,3.0,21.0,5.0,0.5,0.0,0.152112676056338,0.152112676056338,1.0647887323943663,1,2017,Menengah,1,Original,False
33.0,6.0,0,1.75,right,Midfield,0,0,1,0,Premier League,1,1170.0,2.0,0.122077922077922,2.1399797095052966,15.0,0.0,1,1,0.0,2.772588722239781,Menengah,No History,0.0128205128205128,1789.0,5.0,4.0,7.0,24.0,8.0,0.6129032258064516,0.2515371716042482,0.2012297372833985,0.4527669088876467,1.2073784237003913,1,2018,Menengah,2,Original,False
34.0,7.0,0,1.75,right,Midfield,0,0,1,0,Premier League,1,1000.0,2.0,0.0935672514619883,2.086271728108284,15.0,15.0,1,2,0.0,2.772588722239781,Menengah,Menengah,0.015,937.0,2.0,2.0,4.0,12.0,4.0,0.4090909090909091,0.192102454642476,0.192102454642476,0.384204909284952,1.152614727854856,1,2019,Rendah,3,Original,False
34.0,7.0,0,1.8,left,Attack,0,0,0,1,Bundesliga,3,811.85,1.0,0.048076923076923,2.729156750737583,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1507.0,5.0,5.0,0.0,51.0,21.0,0.9047619047619048,0.298606502986065,0.298606502986065,0.5972130059721301,3.0457863304578634,1,2017,Rendah,4,Original,False
32.0,5.0,0,1.89,right,Attack,0,0,0,1,Bundesliga,3,134.7,9.0,0.6778846153846154,0.4528144538084035,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1385.0,8.0,0.0,3.0,33.0,15.0,1.0,0.51985559566787,0.0,0.51985559566787,2.144404332129964,1,2017,Rendah,5,Original,False
32.0,5.0,0,1.87,left,Defender,0,1,0,0,Premier League,1,304.25,8.0,0.4708454810495627,0.6558537085380092,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1921.0,0.0,1.0,1.0,11.0,0.0,0.84,0.0,0.0468505986465382,0.0468505986465382,0.5153565851119208,1,2017,Rendah,6,Original,False
26.0,1.0,1,1.76,right,Midfield,0,0,1,0,Bundesliga,3,264.3,7.0,0.5068181818181818,0.768751353505311,3.0,0.0,1,1,0.0,1.3862943611198906,Below 5,No History,0.0113507377979568,1911.0,5.0,5.0,2.0,36.0,10.0,0.7777777777777778,0.2354788069073783,0.2354788069073783,0.4709576138147566,1.695447409733124,1,2018,Rendah,7,Original,False
27.0,0.0,1,1.76,right,Midfield,0,0,1,0,Bundesliga,3,254.7,5.0,0.4272300469483568,0.73135792955892,9.0,3.0,1,2,2.0,2.302585092994046,Rendah,Below 5,0.0353356890459364,1633.0,5.0,3.0,3.0,23.0,11.0,0.75,0.2755664421310471,0.1653398652786283,0.4409063074096754,1.2676056338028168,1,2019,Rendah,8,Original,False
28.0,1.0,1,1.76,right,Midfield,0,0,1,0,Bundesliga,3,300.75,5.0,0.4035874439461883,0.8705849137427469,7.0,9.0,1,3,-0.2222222222222222,2.079441541679836,Rendah,Rendah,0.0232751454696591,1817.0,6.0,11.0,1.0,25.0,11.0,0.875,0.2971931755641167,0.5448541552008805,0.8420473307649972,1.2383048981838194,1,2020,Menengah,9,Original,False
29.0,2.0,1,1.76,right,Midfield,0,0,1,0,Bundesliga,3,236.8,6.0,0.5024875621890548,0.7141787517536818,16.0,7.0,1,4,1.2857142857142858,2.833213344056216,Menengah,Rendah,0.0675675675675675,2078.0,12.0,5.0,1.0,54.0,23.0,0.9230769230769232,0.519730510105871,0.2165543792107796,0.7362848893166506,2.33878729547642,1,2021,Rendah,10,Original,False
34.0,7.0,0,1.71,both,Midfield,0,0,1,0,La Liga,2,1090.0,1.0,0.0671641791044776,2.445980276081274,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1824.0,1.0,2.0,1.0,16.0,6.0,0.8333333333333334,0.0493421052631578,0.0986842105263157,0.1480263157894737,0.7894736842105263,1,2017,Rendah,11,Original,False
