age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
33.0,6.0,0,1.85,right,Attack,0,0,0,1,La Liga,2,955.35,2.0,0.1890547263681592,2.1438231713341698,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2285.0,26.0,5.0,1.0,178.0,77.0,1.0,1.0240700218818382,0.1969365426695842,1.2210065645514223,7.010940919037199,1,2017,Tinggi,12,Original,False
34.0,7.0,0,1.85,right,Attack,0,0,0,1,Serie A,4,871.05,1.0,0.0461847389558232,2.2312344397667943,100.0,0.0,1,1,0.0,4.61512051684126,Tinggi,No History,0.1148039722174387,2688.0,21.0,8.0,3.0,175.0,68.0,0.967741935483871,0.703125,0.2678571428571428,0.9709821428571428,5.859375,1,2018,Tinggi,13,Original,False
35.0,8.0,0,1.85,right,Attack,0,0,0,1,Serie A,4,661.88,1.0,0.0489361702127659,1.9449160240894707,90.0,100.0,1,2,-0.1,4.51085950651685,Tinggi,Tinggi,0.1359763099051187,2917.0,31.0,5.0,3.0,208.0,80.0,1.0,0.9564621186150154,0.1542680836475831,1.1107302022625984,6.417552279739458,1,2019,Tinggi,14,Original,False
36.0,9.0,0,1.85,right,Attack,0,0,0,1,Serie A,4,633.3,2.0,0.1043307086614173,1.8296537575259653,60.0,90.0,1,3,-0.3333333333333333,4.110873864173311,Tinggi,Tinggi,0.0947418285172903,2802.0,29.0,2.0,3.0,168.0,69.0,0.9393939393939394,0.9314775160599572,0.0642398286937901,0.9957173447537472,5.3961456102783725,1,2020,Tinggi,15,Original,False
26.0,1.0,1,1.85,right,Midfield,0,0,1,0,La Liga,2,955.35,2.0,0.1890547263681592,2.1438231713341698,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2595.0,5.0,3.0,8.0,32.0,12.0,1.0,0.1734104046242774,0.1040462427745664,0.2774566473988439,1.1098265895953758,1,2017,Tinggi,47,Original,False
27.0,0.0,1,1.85,right,Midfield,0,0,1,0,La Liga,2,896.1,3.0,0.2266949152542373,1.990901221533368,60.0,0.0,1,1,0.0,4.110873864173311,Tinggi,No History,0.066956812855708,2312.0,3.0,0.0,7.0,40.0,9.0,0.9310344827586208,0.1167820069204152,0.0,0.1167820069204152,1.5570934256055362,1,2018,Tinggi,48,Original,False
28.0,1.0,1,1.85,right,Midfield,0,0,1,0,La Liga,2,913.75,2.0,0.1571428571428571,2.137312386827284,60.0,60.0,1,2,0.0,4.110873864173311,Tinggi,Tinggi,0.0656634746922024,3088.0,4.0,3.0,12.0,45.0,13.0,1.0,0.116580310880829,0.0874352331606217,0.2040155440414507,1.3115284974093264,1,2019,Tinggi,49,Original,False
29.0,2.0,1,1.85,right,Midfield,0,0,1,0,La Liga,2,787.3,2.0,0.171945701357466,1.910519461695904,64.0,60.0,1,3,0.0666666666666666,4.174387269895637,Tinggi,Tinggi,0.081290486472755,2901.0,6.0,4.0,11.0,46.0,11.0,0.9411764705882352,0.186142709410548,0.124095139607032,0.3102378490175801,1.4270941054808686,1,2020,Tinggi,50,Original,False
30.0,3.0,0,1.85,right,Midfield,0,0,1,0,La Liga,2,770.75,1.0,0.0495689655172413,1.9386167924627105,70.0,64.0,1,4,0.09375,4.262679877041316,Tinggi,Tinggi,0.090820629257217,2569.0,1.0,3.0,11.0,41.0,9.0,0.96875,0.0350330868042039,0.1050992604126119,0.1401323472168159,1.4363565589723628,1,2021,Tinggi,51,Original,False
30.0,3.0,0,1.85,right,Attack,0,0,0,1,La Liga,2,955.35,2.0,0.1890547263681592,2.1438231713341698,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2150.0,5.0,10.0,0.0,63.0,18.0,0.78125,0.2093023255813953,0.4186046511627906,0.627906976744186,2.6372093023255814,1,2017,Tinggi,71,Original,False
