model,split,actual,predicted,count
logistic_regression,validation,Rendah,Rendah,359
logistic_regression,validation,Rendah,Menengah,111
logistic_regression,validation,Rendah,Tinggi,6
logistic_regression,validation,Menengah,Rendah,174
logistic_regression,validation,Menengah,Menengah,399
logistic_regression,validation,Menengah,Tinggi,75
logistic_regression,validation,Tinggi,Rendah,8
logistic_regression,validation,Tinggi,Menengah,51
logistic_regression,validation,Tinggi,Tinggi,151
logistic_regression,test,Rendah,Rendah,710
logistic_regression,test,Rendah,Menengah,206
logistic_regression,test,Rendah,Tinggi,16
logistic_regression,test,Menengah,Rendah,401
logistic_regression,test,Menengah,Menengah,781
logistic_regression,test,Menengah,Tinggi,160
logistic_regression,test,Tinggi,Rendah,16
logistic_regression,test,Tinggi,Menengah,90
logistic_regression,test,Tinggi,Tinggi,359
random_forest,validation,Rendah,Rendah,381
random_forest,validation,Rendah,Menengah,95
random_forest,validation,Rendah,Tinggi,0
random_forest,validation,Menengah,Rendah,196
random_forest,validation,Menengah,Menengah,414
random_forest,validation,Menengah,Tinggi,38
random_forest,validation,Tinggi,Rendah,9
random_forest,validation,Tinggi,Menengah,63
random_forest,validation,Tinggi,Tinggi,138
random_forest,test,Rendah,Rendah,752
random_forest,test,Rendah,Menengah,177
random_forest,test,Rendah,Tinggi,3
random_forest,test,Menengah,Rendah,419
random_forest,test,Menengah,Menengah,828
random_forest,test,Menengah,Tinggi,95
random_forest,test,Tinggi,Rendah,18
random_forest,test,Tinggi,Menengah,114
random_forest,test,Tinggi,Tinggi,333
xgboost,validation,Rendah,Rendah,379
xgboost,validation,Rendah,Menengah,96
xgboost,validation,Rendah,Tinggi,1
xgboost,validation,Menengah,Rendah,197
xgboost,validation,Menengah,Menengah,400
xgboost,validation,Menengah,Tinggi,51
xgboost,validation,Tinggi,Rendah,17
xgboost,validation,Tinggi,Menengah,53
xgboost,validation,Tinggi,Tinggi,140
xgboost,test,Rendah,Rendah,752
xgboost,test,Rendah,Menengah,173
xgboost,test,Rendah,Tinggi,7
xgboost,test,Menengah,Rendah,435
xgboost,test,Menengah,Menengah,780
xgboost,test,Menengah,Tinggi,127
xgboost,test,Tinggi,Rendah,15
xgboost,test,Tinggi,Menengah,100
xgboost,test,Tinggi,Tinggi,350
