model,scenario,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,recall_tinggi,params
xgboost,hybrid_sampling_light,validation,0.7098950524737632,0.7083183704550833,0.7293356848912405,0.713179638871032,0.7072943417747753,0.7523809523809524,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1}"
xgboost,hybrid_sampling_light,validation,0.7038980509745127,0.7050285335492313,0.7232605387834146,0.7082436427680904,0.7008700883762645,0.7428571428571429,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 3}"
xgboost,hybrid_sampling_light,validation,0.7068965517241379,0.7066559270639857,0.7186948853615521,0.7081955140664418,0.704419778249772,0.7142857142857143,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 5}"
xgboost,hybrid_sampling_light,validation,0.7053973013493253,0.7044592152225381,0.7185531002524467,0.7069577293222934,0.7028640975618199,0.719047619047619,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 5}"
xgboost,hybrid_sampling_light,validation,0.7031484257871065,0.7010832518777192,0.7239625479821559,0.7068306109041812,0.7004486505148544,0.7523809523809524,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1}"
random_forest,hybrid_sampling_light,validation,0.699400299850075,0.70936279951123,0.7108050627658472,0.705753845998701,0.6976555380582465,0.7095238095238096,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
random_forest,hybrid_sampling_light,validation,0.6986506746626686,0.7089018535564099,0.7079589860635611,0.7042631643852509,0.6970199861223662,0.7,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,hybrid_sampling_light,validation,0.7016491754122939,0.7037864224781399,0.7122047584465885,0.7038412741315102,0.6993224066933861,0.7047619047619048,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
xgboost,class_weight_balanced,validation,0.7031484257871065,0.7005021044327416,0.715936992080783,0.7035577048687615,0.7005226475268911,0.7142857142857143,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,hybrid_sampling_light,validation,0.6979010494752623,0.7057801778379277,0.7079598506069095,0.7032784185773427,0.6963186441725836,0.7047619047619048,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
