league,country,league_rank,season,club_name,club_url,squad_size,club_total_mv_raw
Premier League,England,1,2017,Manchester City,/manchester-city/startseite/verein/281/saison_id/2017,32,€1.01bn
Premier League,England,1,2017,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2017,46,€884.25m
Premier League,England,1,2017,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2017,35,€857.50m
Premier League,England,1,2017,Manchester United,/manchester-united/startseite/verein/985/saison_id/2017,35,€849.50m
Premier League,England,1,2017,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2017,34,€829.60m
Premier League,England,1,2017,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2017,45,€694.00m
Premier League,England,1,2017,Everton FC,/fc-everton/startseite/verein/29/saison_id/2017,48,€381.25m
Premier League,England,1,2017,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2017,34,€304.25m
Premier League,England,1,2017,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2017,29,€297.00m
Premier League,England,1,2017,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2017,42,€268.10m
Premier League,England,1,2017,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2017,41,€220.73m
Premier League,England,1,2017,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2017,37,€208.28m
Premier League,England,1,2017,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2017,37,€196.00m
Premier League,England,1,2017,Stoke City,/stoke-city/startseite/verein/512/saison_id/2017,35,€192.45m
Premier League,England,1,2017,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2017,30,€169.30m
Premier League,England,1,2017,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2017,33,€165.95m
Premier League,England,1,2017,Swansea City,/swansea-city/startseite/verein/2288/saison_id/2017,36,€165.49m
Premier League,England,1,2017,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017,39,€148.20m
Premier League,England,1,2017,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2017,35,€144.50m
Premier League,England,1,2017,Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2017,35,€106.05m
Premier League,England,1,2018,Manchester City,/manchester-city/startseite/verein/281/saison_id/2018,47,€1.20bn
Premier League,England,1,2018,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2018,39,€1.17bn
Premier League,England,1,2018,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2018,54,€1.17bn
Premier League,England,1,2018,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2018,34,€898.60m
Premier League,England,1,2018,Manchester United,/manchester-united/startseite/verein/985/saison_id/2018,36,€797.60m
Premier League,England,1,2018,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2018,42,€659.05m
Premier League,England,1,2018,Everton FC,/fc-everton/startseite/verein/29/saison_id/2018,40,€529.10m
Premier League,England,1,2018,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2018,37,€434.10m
Premier League,England,1,2018,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2018,37,€359.00m
Premier League,England,1,2018,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2018,37,€310.00m
Premier League,England,1,2018,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2018,40,€305.40m
Premier League,England,1,2018,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,40,€302.90m
Premier League,England,1,2018,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2018,36,€289.00m
Premier League,England,1,2018,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2018,33,€254.25m
Premier League,England,1,2018,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2018,37,€244.65m
Premier League,England,1,2018,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2018,39,€239.10m
Premier League,England,1,2018,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2018,33,€197.25m
Premier League,England,1,2018,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,41,€194.35m
Premier League,England,1,2018,Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2018,33,€137.45m
Premier League,England,1,2018,Cardiff City,/cardiff-city/startseite/verein/603/saison_id/2018,35,€113.00m
Premier League,England,1,2019,Manchester City,/manchester-city/startseite/verein/281/saison_id/2019,35,€1.05bn
Premier League,England,1,2019,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2019,56,€1.00bn
Premier League,England,1,2019,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2019,36,€806.80m
Premier League,England,1,2019,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2019,36,€705.85m
Premier League,England,1,2019,Manchester United,/manchester-united/startseite/verein/985/saison_id/2019,43,€670.45m
Premier League,England,1,2019,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2019,38,€607.65m
Premier League,England,1,2019,Everton FC,/fc-everton/startseite/verein/29/saison_id/2019,35,€420.55m
Premier League,England,1,2019,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2019,32,€411.10m
Premier League,England,1,2019,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,44,€320.33m
Premier League,England,1,2019,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2019,38,€303.60m
Premier League,England,1,2019,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2019,39,€272.18m
Premier League,England,1,2019,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2019,41,€252.48m
Premier League,England,1,2019,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2019,38,€231.70m
Premier League,England,1,2019,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2019,36,€210.75m
Premier League,England,1,2019,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,45,€200.78m
Premier League,England,1,2019,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2019,43,€199.60m
Premier League,England,1,2019,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2019,33,€189.33m
Premier League,England,1,2019,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2019,35,€163.88m
Premier League,England,1,2019,Norwich City,/norwich-city/startseite/verein/1123/saison_id/2019,38,€145.33m
Premier League,England,1,2019,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2019,34,€138.60m
Premier League,England,1,2020,Manchester City,/manchester-city/startseite/verein/281/saison_id/2020,36,€1.04bn
Premier League,England,1,2020,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2020,43,€969.65m
Premier League,England,1,2020,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2020,39,€889.20m
Premier League,England,1,2020,Manchester United,/manchester-united/startseite/verein/985/saison_id/2020,39,€770.05m
Premier League,England,1,2020,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2020,41,€703.50m
Premier League,England,1,2020,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2020,42,€619.25m
Premier League,England,1,2020,Everton FC,/fc-everton/startseite/verein/29/saison_id/2020,44,€511.20m
Premier League,England,1,2020,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2020,40,€510.60m
Premier League,England,1,2020,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,38,€450.30m
Premier League,England,1,2020,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2020,53,€430.70m
Premier League,England,1,2020,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2020,40,€336.40m
Premier League,England,1,2020,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,46,€290.40m
Premier League,England,1,2020,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2020,39,€282.80m
Premier League,England,1,2020,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2020,33,€255.35m
Premier League,England,1,2020,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2020,38,€239.75m
Premier League,England,1,2020,Leeds United,/leeds-united/startseite/verein/399/saison_id/2020,39,€238.10m
Premier League,England,1,2020,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2020,36,€193.85m
Premier League,England,1,2020,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2020,40,€149.85m
Premier League,England,1,2020,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2020,43,€141.15m
Premier League,England,1,2020,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2020,32,€132.30m
Premier League,England,1,2021,Manchester City,/manchester-city/startseite/verein/281/saison_id/2021,39,€1.00bn
Premier League,England,1,2021,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2021,49,€918.90m
Premier League,England,1,2021,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2021,44,€914.50m
Premier League,England,1,2021,Manchester United,/manchester-united/startseite/verein/985/saison_id/2021,43,€769.15m
Premier League,England,1,2021,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2021,45,€689.35m
Premier League,England,1,2021,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2021,41,€613.05m
Premier League,England,1,2021,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2021,40,€526.55m
Premier League,England,1,2021,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2021,44,€487.75m
Premier League,England,1,2021,Everton FC,/fc-everton/startseite/verein/29/saison_id/2021,42,€479.05m
Premier League,England,1,2021,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,38,€376.95m
Premier League,England,1,2021,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2021,37,€354.90m
Premier League,England,1,2021,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2021,43,€318.00m
Premier League,England,1,2021,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2021,34,€313.90m
Premier League,England,1,2021,Leeds United,/leeds-united/startseite/verein/399/saison_id/2021,35,€299.45m
Premier League,England,1,2021,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2021,33,€274.30m
Premier League,England,1,2021,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2021,38,€273.30m
Premier League,England,1,2021,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2021,33,€271.05m
Premier League,England,1,2021,Norwich City,/norwich-city/startseite/verein/1123/saison_id/2021,45,€163.20m
Premier League,England,1,2021,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2021,47,€156.20m
Premier League,England,1,2021,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2021,35,€137.85m
Premier League,England,1,2022,Manchester City,/manchester-city/startseite/verein/281/saison_id/2022,34,€1.15bn
Premier League,England,1,2022,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2022,42,€1.00bn
Premier League,England,1,2022,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2022,43,€994.95m
Premier League,England,1,2022,Manchester United,/manchester-united/startseite/verein/985/saison_id/2022,48,€847.75m
Premier League,England,1,2022,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2022,39,€811.85m
Premier League,England,1,2022,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2022,34,€649.10m
Premier League,England,1,2022,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2022,38,€541.60m
Premier League,England,1,2022,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2022,42,€529.80m
Premier League,England,1,2022,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2022,43,€509.55m
Premier League,England,1,2022,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2022,43,€497.65m
Premier League,England,1,2022,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2022,38,€490.70m
Premier League,England,1,2022,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2022,44,€465.60m
Premier League,England,1,2022,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2022,46,€419.95m
Premier League,England,1,2022,Everton FC,/fc-everton/startseite/verein/29/saison_id/2022,40,€413.15m
Premier League,England,1,2022,Nottingham Forest,/nottingham-forest/startseite/verein/703/saison_id/2022,50,€376.25m
Premier League,England,1,2022,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2022,36,€371.20m
Premier League,England,1,2022,Leeds United,/leeds-united/startseite/verein/399/saison_id/2022,47,€345.15m
Premier League,England,1,2022,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2022,39,€323.05m
Premier League,England,1,2022,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2022,47,€295.10m
Premier League,England,1,2022,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2022,47,€287.20m
Premier League,England,1,2023,Manchester City,/manchester-city/startseite/verein/281/saison_id/2023,36,€1.46bn
Premier League,England,1,2023,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2023,40,€1.20bn
Premier League,England,1,2023,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2023,56,€1.01bn
Premier League,England,1,2023,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2023,45,€955.65m
Premier League,England,1,2023,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2023,41,€838.50m
Premier League,England,1,2023,Manchester United,/manchester-united/startseite/verein/985/saison_id/2023,46,€808.35m
Premier League,England,1,2023,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2023,45,€709.65m
Premier League,England,1,2023,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2023,45,€652.25m
Premier League,England,1,2023,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023,49,€524.40m
Premier League,England,1,2023,Nottingham Forest,/nottingham-forest/startseite/verein/703/saison_id/2023,46,€501.35m
Premier League,England,1,2023,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2023,36,€487.50m
Premier League,England,1,2023,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2023,40,€446.58m
Premier League,England,1,2023,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2023,47,€442.73m
Premier League,England,1,2023,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2023,42,€428.78m
